Borough,CD,Crime,Murder,Rape,Robbery,FelonyAssault,Burglary,GrandLarceny,GrandLarcenyAuto
Manhattan,101,17.21,0.00,0.15,0.72,1.92,2.02,12.01,0.38
Manhattan,102,28.97,0.01,0.14,2.27,2.04,2.71,21.30,0.50
Manhattan,103,14.03,0.03,0.13,1.98,2.03,1.49,7.93,0.45
Manhattan,104,22.61,0.00,0.23,1.86,2.35,2.36,14.98,0.81
Manhattan,105,98.63,0.00,0.28,5.31,4.88,9.89,77.74,0.54
Manhattan,106,12.71,0.00,0.12,0.80,0.87,1.19,9.37,0.36
Manhattan,107,9.03,0.02,0.09,1.10,0.95,0.89,5.71,0.28
Manhattan,108,9.47,0.00,0.04,0.47,0.47,1.20,7.01,0.28
Manhattan,109,12.99,0.03,0.28,2.83,2.68,1.69,5.02,0.46
Manhattan,110,16.48,0.09,0.31,4.09,4.36,1.37,5.66,0.60
Manhattan,111,18.15,0.07,0.34,4.27,2.57,1.97,6.26,0.68
Manhattan,112,10.84,0.03,0.22,2.27,1.97,1.72,4.08,0.55
Bronx,201,19.91,0.09,0.27,4.75,5.33,2.29,6.06,1.12
Bronx,202,32.91,0.09,0.32,6.05,13.82,3.66,7.53,1.43
Bronx,203,15.97,0.10,0.28,3.96,4.62,2.22,3.87,0.93
Bronx,204,15.26,0.06,0.22,2.92,5.08,1.76,4.36,0.86
Bronx,205,13.51,0.07,0.22,3.48,3.90,1.54,3.55,0.75
Bronx,206,19.76,0.10,0.28,4.72,5.20,2.86,5.48,1.12
Bronx,207,14.91,0.06,0.17,3.18,3.36,2.50,4.85,0.79
Bronx,208,9.05,0.02,0.02,1.39,1.42,1.49,4.03,0.69
Bronx,209,14.03,0.06,0.15,3.31,3.41,2.09,3.98,1.03
Bronx,210,8.42,0.03,0.08,1.19,1.30,1.36,3.29,1.17
Bronx,211,9.59,0.01,0.11,1.64,1.89,2.02,2.92,1.00
Bronx,212,14.13,0.07,0.25,3.07,3.60,2.59,3.24,1.30
Brooklyn,301,15.36,0.03,0.18,2.40,2.09,2.66,6.54,1.44
Brooklyn,302,22.64,0.03,0.13,3.76,3.31,2.46,11.75,1.19
Brooklyn,303,21.1,0.13,0.29,4.67,5.48,3.22,6.07,1.24
Brooklyn,304,17.49,0.07,0.24,3.75,3.52,3.61,4.95,1.35
Brooklyn,305,21.06,0.08,0.33,4.88,5.17,3.48,5.60,1.52
Brooklyn,306,12.72,0.02,0.13,1.99,1.50,2.27,5.83,0.97
Brooklyn,307,9.37,0.04,0.16,1.79,1.57,1.34,3.48,0.99
Brooklyn,308,18.48,0.11,0.25,3.99,3.96,3.28,5.73,1.17
Brooklyn,309,16.43,0.07,0.14,3.29,3.62,1.96,6.61,0.75
Brooklyn,310,7.65,0.00,0.03,0.78,0.84,1.90,3.14,0.95
Brooklyn,311,7.72,0.01,0.08,1.29,0.96,1.69,3.05,0.64
Brooklyn,312,5.95,0.03,0.04,0.69,0.76,1.47,2.30,0.67
Brooklyn,313,13,0.11,0.16,2.89,2.59,2.04,4.59,0.62
Brooklyn,314,11.41,0.06,0.16,2.33,1.74,1.98,4.45,0.69
Brooklyn,315,10.3,0.02,0.12,1.51,1.25,2.16,4.46,0.78
Brooklyn,316,23.19,0.16,0.45,5.19,7.60,3.31,5.01,1.47
Brooklyn,317,15.44,0.08,0.34,3.27,3.75,2.48,4.45,1.06
Brooklyn,318,12.78,0.06,0.12,2.05,2.09,2.34,5.15,0.97
Queens,401,9.45,0.02,0.14,1.21,1.55,1.94,3.55,1.04
Queens,402,10.59,0.03,0.13,1.34,1.33,1.98,4.44,1.35
Queens,403,9.74,0.02,0.20,1.99,1.97,1.75,3.10,0.71
Queens,404,9.2,0.02,0.19,1.87,1.55,1.53,3.52,0.52
Queens,405,9.46,0.03,0.10,1.47,1.42,2.01,3.42,1.01
Queens,406,7.37,0.00,0.04,0.66,0.52,1.59,4.02,0.54
Queens,407,8.5,0.01,0.12,0.95,1.14,1.85,3.57,0.86
Queens,408,8.4,0.01,0.05,1.62,0.91,1.56,3.33,0.92
Queens,409,11.59,0.04,0.15,2.23,2.25,1.96,3.26,1.70
Queens,410,13.14,0.06,0.16,2.49,2.01,2.76,4.11,1.56
Queens,411,7.24,0.00,0.03,0.53,0.51,1.91,3.62,0.64
Queens,412,16.09,0.06,0.24,3.49,3.56,3.12,4.19,1.42
Queens,413,9.9,0.03,0.09,1.65,1.62,2.44,2.72,1.36
Queens,414,11.76,0.06,0.19,1.69,3.03,3.26,2.89,0.64
Staten Island,501,10.68,0.02,0.22,2.16,2.68,1.90,3.08,0.61
Staten Island,502,6.28,0.02,0.08,0.62,0.79,1.48,2.87,0.42
Staten Island,503,3.75,0.01,0.05,0.27,0.44,0.84,1.81,0.33
