Borough,CD,income,poverty,employed,management,service,sales,natural,production
Bronx,201,11042,42.40,50.70,13.70,42.50,22.90,6.30,14.60
Bronx,202,11042,42.40,50.70,13.70,42.50,22.90,6.30,14.60
Bronx,203,11316,43.90,54.30,18.40,37.70,24.10,6.40,13.30
Bronx,204,13278,38.20,58.00,16.80,38.50,23.00,7.00,14.70
Bronx,205,12640,41.10,62.80,12.00,40.40,25.20,7.80,10.60
Bronx,206,11316,43.90,54.30,18.40,37.70,24.10,6.40,13.30
Bronx,207,15592,31.20,62.90,18.40,36.90,26.90,7.20,10.60
Bronx,208,30705,18.10,62.10,37.70,23.50,25.20,5.50,8.10
Bronx,209,18000,27.10,59.80,23.50,30.20,26.40,9.00,10.90
Bronx,210,27630,14.20,59.80,32.30,25.10,28.90,6.50,7.10
Bronx,211,21208,20.00,61.30,30.90,28.80,22.40,8.10,9.90
Bronx,212,19789,20.40,63.30,27.90,31.60,23.10,8.30,9.00
Brooklyn,301,27936,29.70,67.90,47.80,15.70,24.40,5.30,6.70
Brooklyn,302,46041,20.00,69.00,62.00,13.30,18.80,2.30,3.60
Brooklyn,303,19545,31.00,61.70,33.70,26.60,25.50,5.60,8.90
Brooklyn,304,16289,31.40,64.50,23.60,32.10,22.20,8.60,13.50
Brooklyn,305,15109,33.80,52.30,21.70,32.40,25.80,7.80,12.30
Brooklyn,306,54400,10.70,77.00,67.20,9.90,18.80,2.10,2.70
Brooklyn,307,19766,27.50,66.30,27.40,31.40,19.00,8.70,13.30
Brooklyn,308,25913,26.50,67.20,42.00,24.40,22.40,4.10,7.30
Brooklyn,309,19108,23.40,63.90,30.50,33.30,22.60,5.70,7.80
Brooklyn,310,29465,15.60,61.30,38.60,20.60,25.00,8.00,7.70
Brooklyn,311,22303,17.40,57.00,26.80,25.00,24.70,9.40,14.00
Brooklyn,312,16618,31.60,56.40,33.50,21.40,29.80,7.00,8.30
Brooklyn,313,21615,27.30,52.10,29.80,27.00,24.60,8.10,10.40
Brooklyn,314,21940,21.20,62.70,34.50,28.20,23.40,5.30,8.60
Brooklyn,315,26669,15.70,57.30,38.60,18.50,26.00,7.20,9.70
Brooklyn,316,15008,37.90,55.30,20.10,36.00,26.70,6.30,11.00
Brooklyn,317,21202,16.70,63.10,25.00,35.60,22.00,8.70,8.70
Brooklyn,318,25259,12.40,64.70,35.00,25.50,22.90,7.10,9.40
Manhattan,101,96931,8.30,75.40,70.60,5.30,21.70,0.90,1.50
Manhattan,102,96931,8.30,75.40,70.60,5.30,21.70,0.90,1.50
Manhattan,103,33630,25.10,60.30,48.10,20.00,22.90,2.70,6.40
Manhattan,104,91816,12.30,74.60,67.20,8.60,20.30,1.10,2.80
Manhattan,105,91816,12.30,74.60,67.20,8.60,20.30,1.10,2.80
Manhattan,106,84287,9.70,74.60,69.10,5.40,23.40,0.40,1.60
Manhattan,107,80648,11.30,69.30,72.90,7.80,17.00,1.00,1.30
Manhattan,108,99858,7.10,71.10,69.90,5.00,22.20,0.90,1.90
Manhattan,109,26766,29.20,58.30,48.90,22.60,19.00,2.50,6.90
Manhattan,110,25310,27.90,59.70,42.00,22.30,24.50,3.00,8.20
Manhattan,111,23061,30.30,54.90,37.20,28.10,23.20,4.00,7.60
Manhattan,112,21761,23.60,66.40,31.00,30.90,20.70,4.70,12.70
Queens,401,28270,18.70,69.80,38.10,23.70,23.00,6.70,8.50
Queens,402,27610,14.50,67.50,33.30,25.50,22.60,6.30,12.30
Queens,403,19600,22.60,66.70,18.10,31.80,20.60,13.50,16.10
Queens,404,19834,22.40,63.50,18.20,34.20,21.10,11.40,15.10
Queens,405,25048,15.70,61.30,26.80,23.00,24.90,13.40,11.90
Queens,406,38171,10.00,64.50,52.00,13.30,25.00,3.20,6.40
Queens,407,25395,14.20,60.70,32.30,24.80,26.00,6.90,10.10
Queens,408,27456,15.50,61.60,41.70,17.80,27.00,6.00,7.60
Queens,409,23109,15.60,66.90,26.80,26.10,26.10,9.00,12.00
Queens,410,24056,13.60,63.60,24.80,24.90,28.90,9.20,12.30
Queens,411,33331,8.50,62.90,44,40,17.20,27.40,5.00,5.90
Queens,412,20996,18.00,66.50,22.20,30.80,26.20,8.10,12.60
Queens,413,28111,9.00,65.10,32.40,23.10,27.10,7.00,10.40
Queens,414,23173,20.90,58.20,31.90,27.00,22.10,9.60,9.40
Staten Island,501,25668,19.80,59.30,33.60,25.80,21.90,8.60,10.10
Staten Island,502,32176,8.00,58.70,39.50,17.90,26.30,8.70,7.60
Staten Island,503,35166,6.30,60.00,40.00,15.40,26.70,10.10,7.80
